pl_name,hostname,ra,dec,sy_dist,sy_vmag,disc_year,discoverymethod
"Kepler-1610 c","Kepler-1610",295.9049795,45.4054296,864.33100000,16.0770000,2023,"Transit"
"KOI-1783.01","KOI-1783",289.3414629,46.9881550,865.73000000,13.9780000,2020,"Transit"
"Kepler-487 d","Kepler-487",295.2872318,41.2220033,872.34300000,14.8820000,2021,"Transit"
"K2-97 b","K2-97",127.7628370,10.8475571,878.43000000,12.4860000,2016,"Transit"
"Kepler-656 b","Kepler-656",288.3278778,47.3815380,890.35200000,15.5490000,2016,"Transit"
"Kepler-82 c","Kepler-82",292.8733696,42.9661583,904.32600000,15.1310000,2012,"Transit"
"Kepler-1234 b","Kepler-1234",287.5220359,51.3759464,916.74900000,15.9150000,2016,"Transit"
"Kepler-430 c","Kepler-430",292.8085984,49.5794242,917.47700000,13.9080000,2015,"Transit"
"Kepler-770 b","Kepler-770",286.4904589,38.3748720,930.45700000,14.8520000,2016,"Transit"
"Kepler-869 b","Kepler-869",289.4245955,50.9941198,939.45500000,15.1220000,2016,"Transit"
"Kepler-350 b","Kepler-350",285.4195845,39.7061009,956.85900000,13.9650000,2014,"Transit"
"Kepler-1781 b","Kepler-1781",291.7114906,42.3415097,962.63000000,15.7130000,2021,"Transit"
"Kepler-188 c","Kepler-188",281.2797173,44.3154743,968.54400000,14.7190000,2014,"Transit"
"Kepler-397 c","Kepler-397",295.8940373,42.3805156,969.00000000,16.3570000,2014,"Transit"
"Kepler-58 b","Kepler-58",296.3586251,39.1152033,969.25200000,15.0860000,2012,"Transit"
"OGLE-2019-BLG-0960L b","OGLE-2019-BLG-0960L",274.0142917,-25.7746667,980.00000000,,2021,"Microlensing"
"Kepler-638 b","Kepler-638",284.9194213,41.6172093,991.21400000,13.6580000,2016,"Transit"
"Kepler-1580 b","Kepler-1580",285.9687099,41.3635264,1002.02000000,12.6350000,2016,"Transit"
"Kepler-418 b","Kepler-418",294.4335228,38.3554729,1002.53000000,14.8240000,2014,"Transit"
"Kepler-546 b","Kepler-546",283.2575730,40.9904095,1019.65000000,14.3250000,2016,"Transit"
